date,city,salesperson,customername,carmake,carmodel,caryear,saleprice,commissionrate,commisionearned
12/19/2021,San Antonio,John Scott,Granger Trevor,Toyota,Tundra,2012,12356,0.142529,1761.088324
8/16/2023,Miami,David Williams,Yule Doggerell,Dodge,Caravan,2008,32329,0.09364,3027.28756
2/1/2025,San Antonio,Layla Young,Zoe Stoves,Infiniti,QX,2004,29899,0.062612,1872.036188
6/29/2019,Dallas,Jackson Martinez,Hayden Menichino,Nissan,240SX,1993,40562,0.115924,4702.109288
12/20/2019,Milwaukee,Caleb Long,Bayard Gerasch,GMC,Canyon,2011,47474,0.085267,4047.965558
4/14/2024,Albuquerque,Sophia Miller,Bev Gheraldi,Cadillac,SRX,2008,44023,0.145212,6392.667876
3/26/2023,Austin,Stella Williams,Talyah Schankel,Chevrolet,Suburban 1500,1996,46320,0.108075,5006.034
12/7/2023,Philadelphia,Matthew Clark,Dyanna Kennaird,Lamborghini,Diablo,1991,45495,0.119128,5419.72836
1/15/2025,Tulsa,Michael Taylor,Patin Bartot,Chrysler,Sebring,1996,20179,0.050572,1020.492388
7/2/2019,Oakland,Zoey Thomas,Ardyce Derrington,Oldsmobile,Bravada,1992,23638,0.104696,2474.804048
2/4/2020,Las Vegas,Layla Young,Chandra Shephard,Dodge,Ram 1500 Club,1996,40862,0.092234,3768.865708
5/23/2020,Colorado Springs,Layla Ramirez,Loraine Tollfree,Volkswagen,Passat,2004,10271,0.050311,516.744281
12/24/2019,Austin,Samuel Adams,Di Summerell,Jeep,Wrangler,2006,24714,0.14823,3663.35622
12/12/2023,Nashville,Aurora Cooper,Rolando Gabbitas,Mazda,Mazda3,2006,35138,0.143845,5054.42561
5/19/2019,Fresno,Grace Davis,Bear Thwaites,Mercedes-Benz,600SL,1993,17889,0.063128,1129.296792
5/20/2024,Raleigh,Lucy Brown,Kristoffer Ambrogetti,Volkswagen,Touareg,2005,38382,0.105693,4056.708726
10/31/2018,San Jose,Grace Davis,Leontyne Smallcombe,Oldsmobile,Cutlass Supreme,1996,32731,0.058836,1925.761116
2/22/2023,Boston,Nora Ward,Anna Lambard,Ford,Excursion,2002,30961,0.117658,3642.809338
1/12/2023,Louisville,Harper Martin,Gerik Tabourin,Buick,Riviera,1997,41632,0.090473,3766.571936
2/19/2022,Los Angeles,Michael Taylor,Brew Blanch,Chevrolet,Silverado 3500,2002,10396,0.116286,1208.909256
2/16/2024,Arlington,Gabriel Rivera,Muriel Wibrow,Bentley,Arnage,2007,27590,0.105946,2923.05014
10/21/2024,Mesa,Isaac Kelly,Derick Schult,Honda,Civic,1996,44373,0.118485,5257.534905
4/6/2022,Austin,Ellie Davis,Shaun Colls,GMC,Yukon XL 1500,2004,11331,0.079298,898.525638
9/30/2022,Long Beach,Sophia Rodriguez,Petra Tomsa,Chevrolet,Silverado 3500,2005,47689,0.11006,5248.65134
11/21/2023,Oklahoma City,Natalie Harris,Jerome Longland,Cadillac,Catera,1997,36010,0.086077,3099.63277
9/6/2023,El Paso,Victoria Bailey,Lazaro Cristoforetti,Chevrolet,Tahoe,1997,18897,0.089602,1693.208994
7/29/2022,Louisville,Levi Richardson,Edouard Ivanusyev,Ford,Contour,1999,10016,0.105404,1055.726464
6/18/2020,Jacksonville,Michael Gonzalez,Gualterio Hamel,Land Rover,Discovery,2001,12680,0.140475,1781.223
9/16/2021,Detroit,Ellie Davis,Ogden Troop,Hyundai,Accent,1999,40725,0.133804,5449.1679
4/30/2019,New York,Layla Thomas,Aime Fairlam,Isuzu,Amigo,1999,35165,0.139274,4897.57021
1/17/2024,San Diego,Lucy Cooper,Loria Haibel,Subaru,Forester,2011,14416,0.117429,1692.856464
4/12/2019,Detroit,Caleb Long,Lindon Earwaker,Dodge,Viper,2010,20975,0.128644,2698.3079
10/5/2022,Columbus,Caleb Barnes,Robert Kernaghan,Aptera,Typ-1,2009,10099,0.125118,1263.566682
9/19/2023,Houston,Ellie Diaz,Stepha Suche,BMW,645,2004,14205,0.109205,1551.257025
3/19/2021,Phoenix,Aria Garcia,Chuck Lyall,Pontiac,Aztek,2003,19055,0.105,2000.775
11/18/2019,Los Angeles,Charlotte Thomas,See Freschi,Isuzu,Oasis,1997,20702,0.052285,1082.40407
3/9/2023,San Diego,Ellie Torres,Kira Whife,Oldsmobile,Alero,2003,17665,0.144998,2561.38967
12/30/2018,Long Beach,Emma Harris,Bond Goricke,Audi,90,1994,24344,0.102929,2505.703576
2/2/2023,Tucson,Aria Torres,Eryn Rottgers,Mitsubishi,Montero Sport,2004,42118,0.098658,4155.277644
6/27/2019,Tampa,Emma Harris,Ralph Southwood,Kia,Rio,2012,27683,0.136572,3780.722676
2/26/2020,San Diego,Michael Brown,Harriot Bernon,Nissan,Pathfinder,2003,42664,0.052051,2220.703864
8/31/2019,Portland,Ethan Cooper,Aurilia Leithgoe,Chevrolet,Camaro,1985,26163,0.073236,1916.073468
12/18/2023,Tulsa,Abigail Thomas,Binky L'Homme,Infiniti,EX,2009,36667,0.092375,3387.114125
1/2/2022,Colorado Springs,Lily Barnes,Thorvald Dielhenn,Saab,9-4X,2011,46252,0.090559,4188.534868
2/13/2023,Los Angeles,Gabriel Cooper,Myron MacColm,Jeep,Grand Cherokee,2000,12300,0.095757,1177.8111
10/2/2024,Fort Worth,Carter Rivera,Geoff Wood,Audi,TT,2002,11569,0.115627,1337.688763
1/10/2024,Boston,Gabriel Wilson,Josselyn Tumpane,Cadillac,Escalade,2002,38593,0.090022,3474.219046
1/2/2024,Virginia Beach,Ellie Reed,Adams Aime,Mercury,Cougar,1994,49100,0.061056,2997.8496
8/3/2023,Seattle,Charlotte Garcia,Teodora Bruff,Lexus,CT,2011,47143,0.054054,2548.267722
12/1/2024,Tampa,Sophia Hall,Steve Colum,Lexus,LX,2008,14505,0.064809,940.054545
3/17/2025,Los Angeles,Emma Adams,Sherrie Insko,Mazda,CX-7,2007,24903,0.066044,1644.693732
7/27/2019,Washington,Alexander White,Colby Lethlay,BMW,X3,2004,17765,0.102909,1828.178385
9/16/2021,Tucson,Amelia Cooper,Salmon O'Spillane,Mazda,Miata MX-5,2004,10572,0.093095,984.20034
11/5/2021,Las Vegas,Benjamin Thompson,Eadith Parnby,GMC,Savana 3500,2002,28923,0.086323,2496.720129
4/27/2022,Fresno,Gabriel King,Ozzie Brine,Plymouth,Colt,1993,30900,0.087714,2710.3626
6/20/2022,Baltimore,Ella Sanchez,Fallon Avrahm,BMW,M5,1992,35205,0.133839,4711.801995
3/20/2023,Phoenix,Layla Sanchez,Tate Connealy,Honda,Odyssey,2011,39678,0.137562,5458.185036
6/22/2022,Washington,Benjamin Torres,Maisie Posten,Acura,NSX,2005,38555,0.07222,2784.4421
6/11/2020,Nashville,David Scott,Chucho Graffham,Porsche,911,2007,18039,0.071498,1289.752422
11/5/2022,San Antonio,Harper Ward,Cindra Roney,Ford,Escort,1993,18023,0.13406,2416.16338
11/16/2022,Tucson,Levi Richardson,Leonhard Glidden,Mitsubishi,Truck,1995,23269,0.142819,3323.255311
5/18/2023,Sacramento,John Scott,Lia Kintzel,Audi,A4,2006,30995,0.052864,1638.51968
4/29/2021,Arlington,Caleb Barnes,Othilie Conre,Volkswagen,Passat,1991,37074,0.064835,2403.69279
3/31/2025,San Diego,Henry Patterson,Charmain Pym,Suzuki,XL7,2007,40735,0.07576,3086.0836
12/26/2022,Tucson,Joseph Campbell,Carena Emery,Chevrolet,Camaro,2002,38056,0.101728,3871.360768
1/22/2023,Dallas,Michael Brown,Darlleen Bunclark,Mazda,Mazdaspeed 3,2007,25569,0.094483,2415.835827
11/25/2018,Boston,Gabriel Wilson,Alric Tapsell,Oldsmobile,Intrigue,1998,48407,0.131967,6388.126569
9/3/2020,Oklahoma City,Thomas Diaz,Albertine Finnan,Chevrolet,Silverado,2007,14821,0.092901,1376.885721
12/5/2024,Detroit,Evelyn Bailey,Petronille McLugaish,Mazda,626,1985,39097,0.145692,5696.120124
10/28/2023,El Paso,Jacob Davis,Upton Govett,Ford,F150,2003,27959,0.144899,4051.231141
6/18/2022,Mesa,Stella Jenkins,Gretal Housbey,Subaru,Tribeca,2011,49864,0.054643,2724.718552
9/23/2019,Charlotte,Isabella Wright,Ruben Ludman,Toyota,Corolla,2001,34116,0.066784,2278.402944
8/13/2020,Las Vegas,Gabriel Williams,Hillary Kneath,Mazda,MPV,1994,47705,0.13526,6452.5783
6/9/2021,Detroit,Harper Ward,Weston Schole,Volkswagen,Passat,2007,37461,0.057448,2152.059528
8/13/2023,Mesa,Sophia Rodriguez,Kaitlynn Annear,Volvo,V70,2000,27781,0.146269,4063.499089
8/6/2021,Omaha,David Wright,Camellia Kobke,Buick,Century,1987,44766,0.097136,4348.390176
3/30/2023,New York,Lily Barnes,Sara Chandler,Mitsubishi,Lancer,2005,34643,0.112196,3886.806028
12/26/2023,Memphis,Stella Williams,Cathie Housby,Land Rover,Sterling,1991,15309,0.108549,1661.776641
11/27/2019,Charlotte,David Young,Ralph Downing,Dodge,D250,1992,12579,0.139022,1748.757738
9/3/2021,Raleigh,Lily Nelson,Jedd Rumgay,Saturn,VUE,2003,25113,0.112395,2822.575635
10/15/2021,Long Beach,Natalie Harris,Rudolfo McColgan,Aston Martin,DB9,2008,45993,0.138164,6354.576852
5/19/2019,Milwaukee,Benjamin Ramirez,Enos Matus,Mercedes-Benz,SLK-Class,2003,22217,0.130625,2902.095625
12/1/2024,Chicago,David Wright,Quentin Richens,Chevrolet,Cobalt,2010,48059,0.100281,4819.404579
3/12/2023,Albuquerque,Nora White,Jayme McInally,Chevrolet,Express 3500,2003,14125,0.066274,936.12025
1/14/2024,Colorado Springs,Layla Thomas,Janelle Gawler,Bentley,Continental Super,2010,39779,0.089007,3540.609453
3/24/2020,Chicago,Ethan Cooper,Vassili Arthan,Ford,Laser,1984,38591,0.098284,3792.877844
11/17/2024,Tampa,David Wright,Doralyn Lisimore,Chevrolet,1500,1997,24619,0.082088,2020.924472
12/19/2020,Tulsa,Joseph Thomas,Roda Wells,Studebaker,Avanti,1964,14998,0.096365,1445.28227
6/2/2021,Phoenix,Aurora Cooper,Hubie McSwan,Lincoln,Continental,1997,20662,0.053227,1099.776274
10/22/2023,Fort Worth,Brooklyn Patterson,Tilda Daleman,Honda,Pilot,2011,49320,0.068334,3370.23288
6/18/2023,Houston,Grace Lewis,Sissie Sibbe,Pontiac,Grand Prix,1983,23455,0.053116,1245.83578
4/19/2023,Philadelphia,Henry Lee,Maegan Forth,Pontiac,Firebird,1989,22362,0.087768,1962.668016
9/11/2022,Mesa,Ellie Davis,Sarine Nurcombe,Dodge,Caliber,2007,40444,0.107365,4342.27006
10/12/2020,Oklahoma City,Elijah Clark,Brennan Hamments,MINI,MINI,2002,49423,0.072004,3558.653692
10/24/2021,Detroit,Samuel Adams,Nickolaus Haszard,MINI,Cooper Clubman,2010,22019,0.139215,3065.375085
6/4/2019,Philadelphia,Nora White,Iris De Ruel,Mercedes-Benz,300TE,1993,20341,0.128954,2623.053314
7/4/2023,Milwaukee,Alexander Nguyen,Enrica Franzman,Dodge,Dakota Club,2007,11295,0.065453,739.291635
9/20/2022,Milwaukee,Benjamin Adams,Marys Bashford,Lexus,LS Hybrid,2010,46649,0.108004,5038.278596
